extract_dt,region_id,market_name,category,commodity,price
2026-02-13,120000000,TACURONG CITY PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",42.0
2026-02-13,120000000,GENERAL SANTOS PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",28.0
2026-02-13,120000000,TACURONG CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",28.0
2026-02-13,120000000,TACURONG CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,30.0
2026-02-13,120000000,GENERAL SANTOS PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-13,120000000,TACURONG CITY PUBLIC MARKET,Legumes,Mungbean - KG,95.0
